IP:PORT, LOSS, DELAY
162.159.192.134:2506,0.00%,180 ms
162.159.192.198:4500,0.00%,182 ms
162.159.192.226:1014,0.00%,182 ms
162.159.192.239:1014,0.00%,183 ms
162.159.192.239:968,0.00%,183 ms
162.159.195.50:894,0.00%,183 ms
162.159.192.155:7103,0.00%,183 ms
162.159.195.6:878,0.00%,183 ms
162.159.192.237:968,0.00%,184 ms
162.159.192.146:7103,0.00%,184 ms
162.159.195.133:8742,0.00%,184 ms
162.159.192.131:1701,0.00%,184 ms
162.159.195.93:1701,0.00%,184 ms
162.159.192.240:968,0.00%,184 ms
162.159.192.150:7103,0.00%,184 ms
162.159.195.112:1701,0.00%,184 ms
162.159.195.47:894,0.00%,184 ms
188.114.97.224:8742,0.00%,184 ms
162.159.195.119:1018,0.00%,184 ms
162.159.192.136:7103,0.00%,184 ms
162.159.192.197:942,0.00%,184 ms
162.159.195.53:908,0.00%,185 ms
162.159.195.224:1002,0.00%,185 ms
162.159.195.224:1014,0.00%,185 ms
162.159.195.5:894,0.00%,185 ms
162.159.195.105:1701,0.00%,185 ms
162.159.195.4:878,0.00%,185 ms
162.159.195.114:1018,0.00%,185 ms
162.159.195.117:1018,0.00%,185 ms
162.159.195.100:1701,0.00%,185 ms
162.159.195.6:894,0.00%,185 ms
162.159.195.12:878,0.00%,185 ms
162.159.195.181:878,0.00%,185 ms
162.159.195.11:878,0.00%,185 ms
162.159.195.37:894,0.00%,185 ms
162.159.195.147:4233,0.00%,185 ms
162.159.192.131:7559,0.00%,185 ms
162.159.192.118:7559,0.00%,185 ms
162.159.195.7:894,0.00%,185 ms
162.159.195.192:890,0.00%,185 ms
162.159.192.241:968,0.00%,185 ms
162.159.195.157:8319,0.00%,185 ms
162.159.192.134:7103,0.00%,185 ms
162.159.195.231:5956,0.00%,185 ms
162.159.192.161:7103,0.00%,185 ms
162.159.195.247:5956,0.00%,185 ms
162.159.192.128:1701,0.00%,185 ms
162.159.192.195:942,0.00%,185 ms
162.159.195.54:908,0.00%,185 ms
162.159.192.156:7103,0.00%,186 ms
162.159.195.191:878,0.00%,186 ms
162.159.192.192:942,0.00%,186 ms
162.159.195.10:878,0.00%,186 ms
188.114.98.198:5279,0.00%,186 ms
162.159.192.196:942,0.00%,186 ms
162.159.195.77:1387,0.00%,186 ms
162.159.195.231:945,0.00%,186 ms
162.159.195.130:8742,0.00%,186 ms
162.159.195.219:1002,0.00%,186 ms
162.159.195.42:3581,0.00%,186 ms
162.159.195.206:890,0.00%,186 ms
162.159.192.201:1014,0.00%,186 ms
162.159.195.156:4233,0.00%,186 ms
162.159.192.156:2506,0.00%,186 ms
162.159.195.245:945,0.00%,186 ms
162.159.195.59:908,0.00%,186 ms
162.159.192.244:968,0.00%,186 ms
162.159.192.115:1701,0.00%,186 ms
162.159.195.113:1018,0.00%,186 ms
162.159.192.159:7103,0.00%,186 ms
162.159.195.173:946,0.00%,186 ms
162.159.195.243:5956,0.00%,186 ms
